entry_idx,entry_time,entry_price,exit_idx,exit_time,exit_price,exit_reason,roi,roi_pct,pnl,minutes_held,max_price,min_price,max_gain_pct,max_loss_pct
7440,2026-02-06 00:00:00+00:00,76.5193670092181,7448,2026-02-06 00:08:00+00:00,74.18062510527434,ROLLING_STOP,-0.030564051891098544,-3.0564051891098543,-30.564051891098543,8,77.0275226437947,74.18062510527434,0.6640876087166009,-3.0564051891098543
7441,2026-02-06 00:01:00+00:00,76.77917805829497,7448,2026-02-06 00:08:00+00:00,74.18062510527434,ROLLING_STOP,-0.0338445007974384,-3.38445007974384,-33.8445007974384,7,77.0275226437947,74.18062510527434,0.3234530399780602,-3.38445007974384
7450,2026-02-06 00:10:00+00:00,70.50765581231147,7454,2026-02-06 00:14:00+00:00,68.38618973805059,ROLLING_STOP,-0.030088449967874933,-3.0088449967874933,-30.088449967874933,4,72.04057353059707,68.38618973805059,2.1741152795749836,-3.0088449967874933
7455,2026-02-06 00:15:00+00:00,67.85742026926611,7459,2026-02-06 00:19:00+00:00,70.57171708003676,TP_HIT,0.04000000000000005,4.000000000000005,40.00000000000005,4,70.7681177764399,67.85742026926611,4.28943142197831,0.0
7460,2026-02-06 00:20:00+00:00,71.19046270381489,7472,2026-02-06 00:32:00+00:00,74.03808121196748,TP_HIT,0.03999999999999996,3.999999999999996,39.99999999999996,12,74.1205608881687,71.19046270381489,4.115857761094162,0.0
7449,2026-02-06 00:09:00+00:00,72.20573279462327,7473,2026-02-06 00:33:00+00:00,75.09396210640821,TP_HIT,0.040000000000000126,4.000000000000012,40.00000000000013,24,75.2389087871083,67.85742026926611,4.200741236312043,-6.0221153599052615
7448,2026-02-06 00:08:00+00:00,74.18062510527434,7505,2026-02-06 01:05:00+00:00,77.14785010948532,TP_HIT,0.04,4.0,40.0,57,77.16285907990533,67.85742026926611,4.020233006123516,-8.524065181487183
7473,2026-02-06 00:33:00+00:00,75.2389087871083,7538,2026-02-06 01:38:00+00:00,78.24846513859264,TP_HIT,0.040000000000000036,4.0000000000000036,40.000000000000036,65,78.40097231162055,74.32508192192573,4.202697215425388,-1.2145668775822935
7474,2026-02-06 00:34:00+00:00,75.26123455859943,7538,2026-02-06 01:38:00+00:00,78.2716839409434,TP_HIT,0.040000000000000015,4.000000000000002,40.000000000000014,64,78.40097231162055,74.32508192192573,4.171786141212552,-1.2438709545015443
7447,2026-02-06 00:07:00+00:00,75.54145537971311,7541,2026-02-06 01:41:00+00:00,78.56311359490164,TP_HIT,0.03999999999999999,3.9999999999999987,39.999999999999986,94,78.5866011393012,67.85742026926611,4.031092258259383,-10.171944757779409
